timestamp,juror,repo_a,repo_b,parent,choice,multiplier,reasoning
2024-12-24T17:55:51.919Z,L1Juror1,https://github.com/vyperlang/vyper,https://github.com/web3/web3.js,ethereum,2,10.0,"As a first approximation, suppose that the backend (smart contracts) is 2x as valuable as the frontend (JS) of Ethereum. This is an intuitive judgement, on the basis that Ethereum without contracts would be less useful than Ethereum without user interfaces, and contract languages are more challenging to build due to the novel environment (EVM) and harsh security conditions (eg. can't update). Vyper is a high-level language for backend, and web3.js feels analogous to a high-level language for the frontend.

Across Ethereum's history, Vyper seems to be ~4% of Ethereum smart contract usage. https://blockworks.co/news/vyper-ethereum-smart-contract-language

Meanwhile web3.js is a dominant library used in all kinds of frontend applications, though there are now alternatives, particularly ethers.js. Various checks suggest about a 2:1 ratio in usage today, though this is only recent, so I'll assign web3.js a 80% ""market share"".

This implies a 1:20 ratio in market shares, but a 2:1 ratio in value provided, so a total ratio of 1:10 in web3.js's favor."
2024-12-24T18:24:22.611Z,L1Juror1,https://github.com/sigp/lighthouse,https://github.com/paradigmxyz/reth,ethereum,1,6.0,"Lighthouse has 32% of consensus clients, and reth has 2% of execution clients. If we compare their contributions to client diversity, as measured by how much they reduce the HH index, we get:

Consensus status quo: 0.288
Consensus without Lighthouse: 0.402
Execution status quo: 0.341
Execution without reth: 0.355

Contribution ratio: 0.114 / 0.014 = 8.1x

Averaging the two, lighthouse is 12x more impactful.

However, I would argue that execution clients are more challenging to write, the spec is more complex, and it would be harder for ethereum to recover from not having execution clients than not having consensus clients. Hence I give execution clients a 2x multiplier.

So, total 6x to lighthouse."
2024-12-24T18:41:00.539Z,L1Juror1,https://github.com/eth-infinitism/account-abstraction,https://github.com/prysmaticlabs/prysm,ethereum,2,153.0,"All accounts in Ethereum ecosystem:

Arbitrum: 44m
ETH L1: 293m
Optimism: 181m
Polygon: 481m
Total: 1001m

ERC4337 accounts: 730k https://www.alchemy.com/blog/erc-4337-statistics-q3-2023

All transactions:

2.7B on L1: https://blockchair.com/ethereum/charts/total-transaction-count
3.5B on L2 (average of GPT estimate and Perplexity estimate)

ERC4337: 1.6m (same link as above)

Hence, today ERC4337 is about 0.1% of all usage. Account abstraction is very promising in general, but as of today its live usage is roughly at that level.

The features that account abstraction covers (security, gas payments, multi-userops...) are crucial to Ethereum, I would intuitively say 2x more than execution clients. Prysm is 33% of execution client market share, or 28% if we measure by their shares of contribution to client diversity [ie. their marginal impact on the HH index], we'll average to 0.305.

Hence, we compare 0.305 vs 0.001 * 2, and we get a factor of 153x more value provided to-date from Prysm."
2024-12-30T14:46:14.381Z,L1Juror4,https://github.com/grandinetech/grandine,https://github.com/safe-global/safe-smart-account,ethereum,1,2.0,consensys mechanism stability > AA std / app factor 2:1; client diversity boost 2x (pro grandine); licensing/closed source*/copy-pasta-networking-stack malus 0.5x (on grandine)
2024-12-30T19:42:06.928Z,L1Juror4,https://github.com/ethereum/go-ethereum,https://github.com/grandinetech/grandine,ethereum,1,140.0,historic/average market share/usage for el/cl respectively ~70% vs 1%; 2x boost for higher complexity of writing EL + exporting the EVM into every corner of the crypto ecosystem
2024-12-31T10:31:09.191Z,L1Juror5,https://github.com/erigontech/erigon,https://github.com/ethereumjs/ethereumjs-monorepo,ethereum,1,1.5,"I feel that Erigon was slightly more influential than EthereumJS. While a lot of the Erigon code was forked from go-ethereum, they made big strides in establishing a flat data format before anyone else. EthereumJS has maintained a lot of libraries that people all over the javascript ecosystem use to interact with ethereum."
2024-12-31T10:40:46.424Z,L1Juror5,https://github.com/erigontech/erigon,https://github.com/vyperlang/vyper,ethereum,1,4.0,Erigon has been significantly more influential than vyper in contributing to the ethereum roadmap. They did light a fire under other execution layer clients which made the whole space more competitive.
2024-12-31T10:41:47.645Z,L1Juror5,https://github.com/safe-global/safe-smart-account,https://github.com/web3/web3.js,ethereum,2,10.0,"While safe has been used significantly, I would say that web3js was significantly more influential since many projects would've never been built if it wasn't for web3js and ethers"
2024-12-31T10:50:02.173Z,L1Juror5,https://github.com/consensys/teku,https://github.com/eth-infinitism/account-abstraction,ethereum,1,3.0,"Without teku there would not be a stable network to built AA on. I think that the AA plan has not yet played out, I hope to see more of them in the future, but so far I don't think that they have had a big impact on the network right now"
2025-01-06T11:21:31.378Z,L1Juror4,https://github.com/status-im/nimbus-eth2,https://github.com/nethermindeth/nethermind,ethereum,2,5.33,average mainnet usage of cl/el ~5% vs ~40% => 8x Nethermind; writing EL harder than CL => 2x boost Nethermind; early stage beacon chain cl diversity boost 3x Nimbus
2025-01-06T11:30:33.486Z,L1Juror4,https://github.com/status-im/nimbus-eth2,https://github.com/argotorg/solidity,ethereum,2,12.5,solidity dominance in EVM languages category boost 5x; Nimbus CL diversity contribution boost 2x; developer attraction / ecosystem flourishing factor 5x (in favor of solidity)
2025-01-06T14:30:40.784Z,L1Juror7,https://github.com/paradigmxyz/reth,https://github.com/ethereum/web3.py,ethereum,1,1.5,Usages
2025-01-08T17:16:07.879Z,L1Juror8,https://github.com/ethereum/go-ethereum,https://github.com/web3/web3.js,ethereum,1,900.0,"its geth, foundational software for ecosystem"
2025-01-08T17:16:40.435Z,L1Juror8,https://github.com/ethereum/py-evm,https://github.com/web3/web3.js,ethereum,2,1.0,I think web3.js has had more direct usage than py-evm but this one is close
2025-01-09T10:16:11.836Z,L1Juror9,https://github.com/chainsafe/lodestar,https://github.com/paradigmxyz/reth,ethereum,2,8.0,"I generally find execution clients more valuable to the community compared to consensus clients, because EC usage is way higher in the developer community: A good EC client can be used as L2 nodes, local testnets, indexer builders, and other EVM toolings.
Reth is especially valuable because it's a very performant node, and currently being used by Conduit to provide as a service for L2s asking for higher gas. The Paradigm team also handles feedback and bug reports very well -- closing tickets within hours or days. I know lots of tooling team that are building with reth nodes, and know how the performance focus really help"
2025-01-09T10:21:55.808Z,L1Juror9,https://github.com/ethereum/go-ethereum,https://github.com/ethereum/remix-project,ethereum,1,20.0,"While Remix was a good starting point for smart contract development in the early days, it's now usually considered outdated and has no advantages compared to other frameworks like Foundry that are much faster, with more resources, documentation and template repositories to learn a more comprehensive way to build smart contracts securely.
Go-Ethereum, on the other hand, is still the most reliable client for all users, developers and infrastructure providers. Even today, it's considered the benchmark and is used to benchmark other clients. Its impact in the EC community remains very important, while Remix has become a tool that people use only once every 2 months in specific cases where they need to read code on someone else's computer, and it's impact in smart contract development sadly disappeared."
2025-01-09T10:31:00.445Z,L1Juror9,https://github.com/prysmaticlabs/prysm,https://github.com/argotorg/solidity,ethereum,2,20.0,"I'd rate Solidity way more valuable than most clients. While Prysm is definitely the most well-known consensus client, compared to Solidity and its contribution to the success of Ethereum, its impact is much smaller. Over 95% of developers write contracts in Solidity - it has shaped how code is written in the EVM and formed a ""monopoly"" on the network. The function call patterns and library patterns were all defined by Solidity, and it has defined the core of how developers think about ""smart contracts"".
Every change Solidity makes has an impact on Ethereum and its usage, both from security and developer experience perspectives."
2025-01-09T10:37:05.043Z,L1Juror9,https://github.com/vyperlang/vyper,https://github.com/chainsafe/lodestar,ethereum,2,6.0,"While Lodestar has low market share, its position as a client implementation is more valuable to the client ecosystem compared to Vyper as a compiler. Vyper itself is a well-designed compiler with better gas performance, but low usage and lack of tooling have made it significantly less popular than Solidity. The Python-like syntax did not attract more developers. Instead, significant bugs caused loss of funds due to poor release processes.
The Vyper compiler has low usage and cannot find enough developers to support its community. It now lags significantly behind the Solidity community, unable to provide meaningful improvements to project development."
