repo,contract_address
https://github.com/a16z/helios,0x85e6151a246e8fdba36db27a0c7678a575346272
https://github.com/alloy-rs/alloy,
https://github.com/apeworx/ape,
https://github.com/chainsafe/lodestar,
https://github.com/consensys/teku,
https://github.com/erigontech/erigon,
https://github.com/eth-infinitism/account-abstraction,
https://github.com/ethereum-lists/chains,
https://github.com/ethereum/consensus-specs,
https://github.com/ethereum/eips,
https://github.com/ethereum/evmone,
https://github.com/ethereum/execution-apis,
https://github.com/argotorg/fe,
https://github.com/ethereum/go-ethereum,
https://github.com/ethereum/py-evm,
https://github.com/ethereum/remix-project,
https://github.com/argotorg/solidity,
https://github.com/argotorg/sourcify,
https://github.com/ethereum/web3.py,
https://github.com/ethers-io/ethers.js,
https://github.com/foundry-rs/foundry,0x9c32042f5e997e27e67f82583839548eb19dc78c
https://github.com/grandinetech/grandine,0x93b10cc89A3D3b5bb6bBB04EfFe104873EF002A9
https://github.com/hyperledger-web3j/web3j,
https://github.com/hyperledger/besu,
https://github.com/nethereum/nethereum,
https://github.com/nethermindeth/nethermind,
https://github.com/nomicfoundation/hardhat,
https://github.com/openzeppelin/openzeppelin-contracts,
https://github.com/paradigmxyz/reth,
https://github.com/prysmaticlabs/prysm,
https://github.com/safe-global/safe-smart-account,
https://github.com/scaffold-eth/scaffold-eth-2,
https://github.com/sigp/lighthouse,0x00000000219ab540356cBB839Cbe05303d7705Fa
https://github.com/status-im/nimbus-eth2,0x70E47C843E0F6ab0991A3189c28F2957eb6d3842
https://github.com/vyperlang/titanoboa,0x0000000000000000000000000000000000000065
https://github.com/vyperlang/vyper,
https://github.com/wevm/viem,
https://github.com/argotorg/hevm,
https://github.com/ethdebug/format,
https://github.com/argotorg/act,
https://github.com/ethpandaops/ethereum-package,0x00000000219ab540356cBB839Cbe05303d7705Fa
https://github.com/ethpandaops/ethereum-helm-charts,
https://github.com/ethpandaops/checkpointz,
https://github.com/lambdaclass/lambda_ethereum_consensus,
https://github.com/erigontech/silkworm,
